Membership No  Date Joined  Active  
    14004      2020-3-2     no    
    57714      2017-2-21    no    
    81268      2020-8-9     no    
    54693      2016-8-7     no    
    85047      2019-9-24    no    
    27387      2016-2-7     no    
    98198      2015-6-23    no    
    17628      2018-5-14    no    
    75209      2020-1-21    no    
    21346      2018-11-11   no    
    24483      2020-2-9     no    
    43228      2019-3-23    no    
    30962      2019-11-19   no    
    25762      2015-6-9     no    
    87299      2016-3-7     no    
    90974      2020-5-23    no    
